resID	atmilitary	atreligion	ated	atprof	atinc	atrace	atage	atmale	selected	rating
155	2	3	1	2	2	3	6	1	0	0.8333333333333334
155	2	1	2	4	3	5	6	2	0	0.6666666666666666
155	2	5	6	2	4	6	4	1	1	1
155	2	2	5	4	3	4	1	2	1	1
155	2	4	5	6	4	2	6	1	0	0.8333333333333334
370	2	5	1	1	3	3	6	2	1	0.6666666666666666
370	1	5	6	5	3	1	5	1	0	0.16666666666666666
370	1	3	3	3	4	2	1	2	0	0.5
370	2	5	2	1	3	2	3	1	1	0.6666666666666666
370	2	4	1	1	3	2	6	1	1	0.6666666666666666
370	1	5	1	2	1	5	4	2	0	0.3333333333333333
370	2	6	6	5	4	6	5	2	0	0.3333333333333333
370	2	4	2	3	6	3	2	2	1	0.5
370	2	2	6	1	3	4	6	2	1	0.8333333333333334
370	1	1	2	2	4	5	5	2	0	0.6666666666666666
581	2	6	6	5	4	6	5	1	0	0.6666666666666666
581	1	1	5	3	1	4	3	1	1	0.8333333333333334
581	1	1	2	5	3	2	5	2	1	0.5
581	2	3	2	6	6	4	4	2	0	1
581	2	3	3	2	6	6	2	2	0	0.16666666666666666
581	2	1	3	3	1	4	3	1	1	
581	1	1	3	1	1	6	4	1	1	0.8333333333333334
581	2	4	4	6	5	2	4	1	0	0.6666666666666666
581	2	1	4	3	2	6	6	1	0	0.5
581	1	3	5	6	5	2	1	1	1	0.8333333333333334
830	2	1	1	6	5	3	3	1	0	0.5
830	1	6	5	3	5	1	3	1	1	0.6666666666666666
830	2	3	6	5	5	3	2	2	1	0.8333333333333334
830	1	2	6	4	3	1	4	1	0	0.5
830	2	5	4	4	5	6	4	1	0	0.8333333333333334
830	2	1	6	5	4	1	3	2	1	0.5
830	2	1	3	5	3	5	5	1	1	0.5
830	1	2	6	1	2	5	2	2	0	0.8333333333333334
830	2	5	3	4	4	4	2	1	1	0.6666666666666666
830	2	1	2	4	2	5	4	1	0	0.5
229	1	6	1	1	1	1	3	2	0	0.3333333333333333
229	1	5	6	5	4	5	2	1	1	0.8333333333333334
229	2	2	6	6	6	4	2	1	1	0.8333333333333334
229	1	4	3	5	5	1	5	2	0	0.6666666666666666
229	1	5	3	2	3	6	3	2	1	0.5
229	1	2	2	2	4	5	1	1	0	0.5
229	2	3	4	4	1	5	2	1	0	0.6666666666666666
229	2	4	3	2	6	6	4	2	1	0.5
229	2	2	5	2	6	4	5	2	0	0.6666666666666666
229	2	3	6	1	1	2	4	1	1	0.16666666666666666
832	2	2	6	1	6	4	6	2	0	0.16666666666666666
832	1	1	5	3	2	1	4	1	1	0.6666666666666666
832	2	1	2	6	4	1	5	2	1	0.6666666666666666
832	1	1	5	1	4	2	1	1	0	0.16666666666666666
832	1	4	3	5	5	1	4	1	0	0.3333333333333333
832	1	6	3	5	3	6	5	2	1	0.8333333333333334
832	2	4	3	6	4	3	5	1	1	0.6666666666666666
832	1	6	3	2	4	3	5	2	0	0.5
832	1	2	3	5	5	3	6	1	1	0.6666666666666666
832	2	6	3	2	6	1	6	1	0	0.5
16	1	6	4	4	1	3	2	1	1	0.5
16	1	6	4	5	2	5	2	1	0	0.16666666666666666
16	2	5	2	2	1	5	2	1	1	0.6666666666666666
16	2	1	1	5	4	3	1	1	0	0.16666666666666666
16	1	3	1	3	6	1	5	2	0	0.8333333333333334
16	1	6	4	1	5	4	3	2	1	0.6666666666666666
16	2	1	4	3	5	3	4	1	1	0.6666666666666666
16	1	5	4	3	3	1	1	1	0	0.5
210	2	3	4	6	6	4	3	2	1	0.8333333333333334
210	1	4	5	3	3	4	6	1	0	0.5
210	1	1	3	3	1	3	1	1	1	0.8333333333333334
210	1	5	1	1	6	1	1	1	0	0.3333333333333333
210	1	2	4	1	1	6	1	1	1	0.8333333333333334
210	2	3	4	5	1	6	3	1	0	0.3333333333333333
210	1	4	1	5	5	6	3	2	0	0.3333333333333333
210	2	2	5	2	2	2	3	2	1	0.8333333333333334
210	1	5	3	6	6	3	1	2	0	0.3333333333333333
210	1	4	6	6	2	3	1	1	1	0.8333333333333334
707	1	1	6	4	4	1	2	2	0	0.6666666666666666
707	1	4	6	1	3	1	3	2	1	0.3333333333333333
707	2	4	2	1	3	5	4	1	0	0.3333333333333333
707	2	4	6	3	5	2	3	1	1	0.8333333333333334
707	2	3	5	6	4	1	5	2	0	0.3333333333333333
707	1	2	2	2	5	3	6	1	1	0.8333333333333334
707	1	1	4	5	1	4	4	1	1	0.8333333333333334
707	2	2	1	5	4	5	3	2	0	0.16666666666666666
707	1	6	5	1	6	3	4	1	0	0.3333333333333333
707	2	4	6	1	5	2	4	2	1	0.8333333333333334
258	2	3	6	2	2	3	1	2	1	0.6666666666666666
258	1	1	6	3	2	1	1	2	0	0.5
258	1	5	5	1	3	1	2	2	1	0.5
258	1	3	4	6	3	6	5	1	0	0.5
258	2	2	3	6	1	3	1	1	0	0.6666666666666666
258	2	5	1	3	5	2	3	1	1	0.5
258	2	3	1	4	4	4	6	2	0	0.6666666666666666
258	1	6	2	5	3	3	1	2	1	0.3333333333333333
258	1	1	5	3	4	6	1	1	0	0.6666666666666666
258	2	4	3	5	3	1	3	1	1	0.5
847	2	6	6	5	3	5	3	1	1	0.6666666666666666
847	1	2	2	4	5	5	6	2	0	0.5
847	1	1	6	4	5	4	3	2	1	0.6666666666666666
